station_id;2021-01-07 00:00:00;2021-01-07 01:00:00;2021-01-07 02:00:00;2021-01-07 03:00:00;2021-01-07 04:00:00;2021-01-07 05:00:00;2021-01-07 06:00:00;2021-01-07 07:00:00;2021-01-07 08:00:00;2021-01-07 09:00:00;2021-01-07 10:00:00;2021-01-07 11:00:00;2021-01-07 12:00:00;2021-01-07 13:00:00;2021-01-07 14:00:00;2021-01-07 15:00:00;2021-01-07 16:00:00;2021-01-07 17:00:00;2021-01-07 18:00:00;2021-01-07 19:00:00;2021-01-07 20:00:00;2021-01-07 21:00:00;2021-01-07 22:00:00;2021-01-07 23:00:00
216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.2;0.0;0.1;0.0;0.0;0.1;0.1;0.1;0.1;0.1;0.3;0.2;0.3;0.2
390;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.2;0.2;0.0;0.4;0.3;0.3
554;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.3;0.2;0.0;0.0;0.3;0.2;0.3;0.1
603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.3;0.0;0.0;0.3;0.3;0.1;0.3;0.5;0.1;0.0;0.0;0.3;0.2;0.3
613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.0;0.2;0.2;0.0
617;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.2;0.0;0.2;0.2;0.3;0.3;0.8;0.5;0.3;0.1
644;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.2;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.0;0.0
796;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.0;0.1;0.0;0.4;0.2;0.3;0.1;0.3;0.0;0.2;0.0
871;0.1;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.3;0.3;0.3;0.8;0.1;0.4;0.0
902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.4;0.3;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0
934;0.1;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.2;0.3;0.4;0.3;0.2;0.2;0.5
